TCGA-AA-A017	C1	0.036	-0.7415	-0.4788	-1.0642	0.0101
TCGA-AA-A01K	C1	0.138	-0.1913	0.1506	-0.4818	0.1622
TCGA-AA-A01T	C1	0.095	-1.6469	-1.2234	-0.3763	-0.3073
TCGA-AA-A01Z	C1	0.237	-1.5344	-1.4695	-1.2055	-0.2954
TCGA-AA-A02H	C1	0.013	-0.8868	-0.7213	-1.0248	-0.0804
TCGA-AA-A02O	C1	0.199	-0.8117	-0.2658	-0.9057	-0.0822
TCGA-AD-A5EJ	C1	0.4025	-0.6945	-0.6096	-0.7535	0.1247
TCGA-AF-A56L	C1	0.2505	-0.6293	-0.2792	-0.1127	0.1712
TCGA-AG-3584	C1	0.273	-0.2262	0.2084	0.1914	0.0564
TCGA-AG-3601	C1	0.301	-0.6955	-1.0078	-0.2568	-0.099
TCGA-AG-3605	C1	0.474	-0.634	0.1719	-1.3007	-0.4221
TCGA-AG-3727	C1	-0.274	-0.9151	-0.5606	-1.8986	0.3263
TCGA-AG-3883	C1	0.101	-0.1958	0.3613	-0.2801	0.5078
TCGA-AG-A025	C1	0.226	-0.9397	-0.2216	-1.3211	0.0959
TCGA-AH-6549	C1	0.355	-0.3654	-0.4654	-0.4982	0.2993
TCGA-AH-6644	C1	0.174	-0.1661	0.1943	0.1771	0.5652
TCGA-AJ-A3BH	C1	0.049	-0.1759	0.6139	-0.7136	0.4205
TCGA-AJ-A8CW	C1	0.2035	-0.295	0.0941	-0.2781	-0.3849
TCGA-AN-A0G0	C1	0.133	-0.1516	-0.3124	-0.4502	0.4722
TCGA-AN-A0XV	C1	-0.0225	-0.0768	0.6348	0.2768	0.3508
TCGA-AO-A0JA	C1	-0.098	0.3328	0.0088	0.6828	0.5318
TCGA-AP-A1DM	C1	0.232	-1.1567	-0.1491	-1.3728	0.2368
TCGA-AQ-A04J	C1	0.189	0.7188	2.0456	0.4386	0.4478
TCGA-AR-A1AY	C1	0.2785	-0.3369	-1.0864	-0.5342	0.254
TCGA-AX-A062	C1	0.272	-0.9392	-1.4298	-1.0337	0.0699
TCGA-AX-A3FV	C1	0.536	-0.9108	-1.3174	-1.549	-0.949
TCGA-AZ-4682	C1	0.498	-0.9586	-0.57	-1.2907	-0.1507
TCGA-B5-A11F	C1	0.163	-0.7563	-0.8824	-0.3319	0.2473
TCGA-B5-A11V	C1	0.091	-0.6964	-0.3305	-0.9405	0.0985
TCGA-B5-A3FB	C1	0.248	-0.5459	-0.0837	-0.4141	-0.2337
TCGA-B6-A0IB	C1	0.0195	-1.4711	-1.2149	-0.3599	-0.0289
TCGA-B6-A401	C1	0.0055	0.0979	0.9609	-0.0042	0.538
TCGA-BA-4078	C1	0.189	0.1094	-0.1404	-0.0517	0.7533
TCGA-BA-7269	C1	0.401	-0.5977	-0.3424	-0.0451	0.5299
TCGA-BA-A6DG	C1	0.0605	0.3959	-0.0897	-0.1589	1.1541
TCGA-BB-A5HU	C1	0.2065	-0.2226	-0.281	-0.3614	0.8258
TCGA-BC-A216	C1	0.0315	-0.2795	0.4947	-0.4007	-0.4818
TCGA-BH-A0B8	C1	-0.014	-0.422	-0.6624	0.3196	0.1255
TCGA-BH-A0DH	C1	-0.091	-0.1426	0.1781	0.4169	0.1015
TCGA-BH-A0HY	C1	0.0405	-0.7838	-1.0496	0.2282	0.4031
TCGA-BH-A1FU	C1	0.0485	0.2461	1.0805	-0.316	0.6821
TCGA-BH-A42T	C1	0.2585	0.0557	-0.0544	-0.7054	0.2253
TCGA-BH-A6R9	C1	-0.09	0.989	0.6932	0.8169	1.162
TCGA-BL-A5ZZ	C1	0.3485	0.482	-0.1631	-0.9106	1.0464
TCGA-BR-6452	C1	0.199	0.3409	0.8682	-0.0851	0.286
TCGA-BR-6455	C1	0.3135	0.4286	1.1679	-0.0988	0.0972
TCGA-BR-7851	C1	0.179	0.2415	0.7686	-0.7473	0.2779
TCGA-BR-8059	C1	0.153	-0.311	-0.3288	-0.932	0.7066
TCGA-BR-8485	C1	0.08	0.2885	1.1051	-0.1804	0.4166
TCGA-BT-A20Q	C1	-0.032	0.1466	0.7527	0.5972	0.5919
TCGA-BT-A42C	C1	0.273	-1.1777	-0.9101	-0.0847	-0.2353
TCGA-C5-A1M6	C1	0.3905	-1.4176	-1.3795	-0.6068	-0.0032
TCGA-C5-A2LS	C1	0.177	-1.2337	-0.6318	-0.371	-0.5744
TCGA-C8-A137	C1	0.188	-1.064	-1.5949	-0.6581	0.2803
TCGA-CA-5256	C1	0.4525	-0.5942	0.1866	-0.9041	-0.3918
TCGA-CD-5798	C1	0.0385	0.448	0.4746	0.5479	0.758
TCGA-CF-A3MG	C1	0.102	-2.1063	-2.7932	-1.8235	-0.6947
TCGA-CG-4449	C1	0.143	0.5703	0.0197	0.4311	0.454
TCGA-CG-5720	C1	0.211	0.5672	1.1759	-0.0714	0.2953
TCGA-CI-6619	C1	0.3405	-0.096	0.4591	-0.7917	0.1287
TCGA-CI-6623	C1	0.383	-0.5977	-0.5529	-1.3752	0.0094
TCGA-CK-5912	C1	0.1495	-0.865	-1.0279	-0.987	-0.1705
TCGA-CK-6748	C1	0.0095	0.0034	-0.8287	-0.7971	0.7083
TCGA-CM-5860	C1	0.361	0.0221	-0.1515	0.243	0.4227
TCGA-CM-5864	C1	0.271	-0.7075	-0.1328	-0.8434	-0.3176
TCGA-CM-6679	C1	0.0965	-0.1173	0.3906	-0.213	0.524
TCGA-CQ-A4CI	C1	0.381	-0.9746	-1.4273	-1.0542	0.4009
TCGA-CR-6474	C1	0.179	0.3823	0.4262	0.3506	1.2829
TCGA-CV-5431	C1	0.2	0.75	1.8318	0.2216	0.8034
TCGA-CV-6940	C1	0.252	-0.5342	-0.6385	-0.9649	0.5946
TCGA-CV-7253	C1	0.2235	-1.7409	-1.793	-0.7821	-0.0434
TCGA-CV-7437	C1	0.1265	-0.5884	-0.9912	-0.4422	0.2633
TCGA-D1-A15V	C1	0.25	-0.5936	-0.2761	0.1404	-0.0467
TCGA-D1-A15Z	C1	0.036	-0.6442	-0.8421	-0.9686	0.0279
TCGA-D1-A2G5	C1	0.028	-1.0151	-1.1487	-0.415	-0.1876
TCGA-D5-5540	C1	0.656	-0.8273	-0.9368	-0.8703	-0.4165
TCGA-D5-6898	C1	0.2485	0.0675	0.0489	-0.7901	0.2672
TCGA-D7-6518	C1	-0.0445	0.4326	1.2533	0.3607	0.7089
TCGA-D7-6521	C1	0.0375	0.8569	1.875	-0.0898	0.5431
TCGA-D7-6820	C1	0.1765	-0.236	-0.2337	-0.5027	0.0057
TCGA-D7-A6EV	C1	0.3445	-0.758	-0.3957	-0.6693	-0.0904
TCGA-D8-A1XS	C1	0.0305	0.0927	-0.3222	-0.349	0.3065
TCGA-DC-5337	C1	0.5455	-0.5565	0.0148	-0.3302	-0.2807
TCGA-DK-A1AE	C1	0.367	-1.1451	-1.4559	-0.2229	-0.1863
TCGA-DK-A1AG	C1	0.001	-0.8695	-0.6484	-0.3239	-0.1204
TCGA-DK-A2I6	C1	0.3745	-1.1644	-1.4892	-0.986	0.023
TCGA-DK-AA6W	C1	0.379	-0.2958	-0.4134	-0.603	-0.2772
TCGA-DM-A0XF	C1	0.4255	-0.6613	-0.8059	0.094	-0.0425
TCGA-DM-A1D9	C1	0.371	-1.175	-1.4071	-0.6136	-0.2176
TCGA-DM-A28H	C1	0.568	-1.2231	-0.9799	-2.0917	-0.4894
TCGA-DX-A48K	C1	-0.0395	0.3338	-0.6118	0.17	0.8113
TCGA-DX-A6Z0	C1	-0.002	0.3901	0.5319	-0.2986	0.6745
TCGA-DX-AB3A	C1	0.0515	-0.1807	-0.7016	-0.175	0.4873
TCGA-E2-A1IE	C1	-0.019	-1.0863	-1.4861	-0.865	0.0161
TCGA-E7-A5KE	C1	0.1515	-2.1047	-2.474	-2.3399	-0.6449
TCGA-E9-A1NF	C1	0.036	0.3843	-0.3324	0.912	0.8737
TCGA-E9-A1RA	C1	-0.0275	-0.0613	0.4903	-0.3197	0.3808
TCGA-EI-6506	C1	0.123	-0.0712	0.5566	0.3245	0.1549
TCGA-EW-A1P3	C1	0.0665	-0.2031	-0.0581	0.4275	0.3096
TCGA-EW-A2FR	C1	0.076	0.2529	0.1041	0.0079	0.9436
TCGA-EY-A1H0	C1	0.214	-1.3852	-0.7726	-0.5064	-0.3864
TCGA-EY-A54A	C1	0.2705	0.2538	0.1962	0.0388	0.1364
TCGA-F4-6808	C1	0.3575	-1.3554	-1.177	-0.949	-0.187
TCGA-F5-6810	C1	0.365	-0.6086	-0.4044	0.0022	0.4379
TCGA-F7-7848	C1	0.0585	0.2277	1.1933	-0.1157	0.3426
TCGA-FD-A3SL	C1	0.034	0.1745	0.0242	-0.1365	0.5067
TCGA-FD-A6TE	C1	0.2285	-0.9733	-0.5322	-0.5951	-0.5216
TCGA-FI-A3PV	C1	0.1845	-1.3602	-1.4146	-0.2447	-0.5066
TCGA-G3-A25T	C1	0.035	-0.3891	-0.442	-0.4666	-0.19
TCGA-G4-6294	C1	0.1095	-0.703	-0.9016	-0.8511	-0.1143
TCGA-G4-6322	C1	0.275	-0.7061	-0.2056	-0.8334	0.1047
TCGA-GC-A3RD	C1	0.1035	-0.724	-1.6318	-0.1098	0.0576
TCGA-GC-A3YS	C1	0.313	0.1055	-0.3077	0.4204	0.6158
TCGA-GD-A3OS	C1	0.172	-0.3634	-0.079	0.1721	0.5885
TCGA-GM-A2DA	C1	0.0015	0.3817	1.6406	0.1455	0.4498
TCGA-GM-A2DL	C1	0.128	0.2611	-0.5731	0.2761	0.7503
TCGA-GV-A40G	C1	0.217	-1.6953	-2.3377	-1.1246	-0.5806
TCGA-HB-A3YV	C1	-0.034	-0.5531	-1.2228	-0.7217	0.5574
TCGA-HD-A634	C1	0.5835	-1.6288	-1.6396	-2.2192	-0.8115
TCGA-HU-A4GH	C1	0.2195	-0.4862	0.255	-0.1424	-0.2701
TCGA-HU-A4H2	C1	0.3125	-0.0604	0.8918	-0.2811	0.0045
TCGA-HZ-7919	C1	-0.0785	0.4599	0.4541	0.9066	0.7221
TCGA-IB-7885	C1	-0.0225	0.7745	1.3504	0.1388	0.969
TCGA-IB-7893	C1	0.074	0.5778	-0.1882	0.742	1.1205
TCGA-IB-AAUN	C1	-0.0585	0.1734	0.3884	0.4237	0.7249
TCGA-IH-A3EA	C1	0.181	-0.5027	-1.0182	-1.1307	-0.205
TCGA-IN-A6RN	C1	-0.0755	-0.7508	-0.3243	-0.1852	-0.0836
TCGA-JY-A93F	C1	0.2725	-1.5745	-1.7601	-0.8889	-0.2076
TCGA-K4-A4AB	C1	-0.1125	-0.3482	-0.8155	-0.4746	0.5778
TCGA-KP-A3W0	C1	0.114	0.2052	0.4078	-0.1035	0.0405
TCGA-KQ-A41P	C1	0.0875	-0.2054	-0.1228	-0.0602	0.2967
TCGA-L1-A7W4	C1	0.1425	-0.5042	-1.0168	-0.0342	0.5363
TCGA-L5-A43C	C1	0.03	0.9872	1.1283	-0.2857	0.926
TCGA-L5-A4OR	C1	0.096	-0.3983	0.2047	-0.6791	0.0514
TCGA-L5-A4OS	C1	0.271	0.739	1.1843	0.4478	0.4901
TCGA-L5-A8NE	C1	0.1185	-0.7314	-0.1854	-0.2344	-0.0502
TCGA-L9-A7SV	C1	0.038	-0.2008	0.1866	-0.6017	-0.3238
TCGA-LA-A7SW	C1	0.4325	-0.1924	-0.7679	-0.253	0.2653
TCGA-LL-A5YP	C1	0.255	0.4081	0.3962	-0.3197	0.7728
TCGA-MF-A522	C1	0.273	-0.8806	-1.2768	-1.3631	-0.0668
TCGA-MJ-A850	C1	0.265	-1.0661	-1.6356	-1.0242	0.1579
TCGA-N5-A4RM	C1	0.231	-0.9488	-0.8825	-0.4732	0.0301
TCGA-N5-A4RU	C1	0.3105	-0.7411	-0.9679	-0.5618	0.4177
TCGA-N5-A59E	C1	0.279	-0.8772	-0.5734	-0.9088	0.3812
TCGA-N6-A4VG	C1	0.3005	-0.203	-0.5956	-1.0751	0.3667
TCGA-N8-A4PM	C1	0.4085	-0.7076	-1.3153	-0.0158	0.3502
TCGA-N8-A4PO	C1	0.26	-0.3529	-0.3102	-0.7119	0.4301
TCGA-NC-A5HF	C1	0.193	-0.9865	-1.3124	-0.8791	0.4221
TCGA-ND-A4WF	C1	0.375	-0.8778	-0.8068	-0.3092	0.298
TCGA-NF-A4WU	C1	0.1045	-1.0932	-0.6911	-0.7516	-0.0895
TCGA-NH-A50V	C1	0.0495	-0.0329	0.4807	0.3095	0.3841
TCGA-O2-A52N	C1	0.1555	0.0803	0.2454	0.0084	0.5475
TCGA-Q1-A6DV	C1	0.2025	-0.6992	0.4062	-0.1107	-0.1345
